Epoch,Train loss,Class loss,Box loss,GIoU,Learning rate,Val Precision,Val Recall,val_mAP50,val_mAP50_95,Epoch Time (s)
1,5.64356,0.64716,0.03914,0.09234,1.000000e-04,0.9344,0.9316,0.9641,0.8243,673.73
2,4.4525,0.41092,0.03752,0.08796,1.000000e-04,0.957,0.948,0.977,0.8367,764.79
3,4.19943,0.37382,0.03657,0.08657,1.000000e-04,0.9545,0.9579,0.9781,0.8457,824.34
4,4.06313,0.35312,0.03546,0.08488,1.000000e-04,0.9639,0.9556,0.9808,0.847,785.78
5,3.99009,0.34425,0.03526,0.08437,1.000000e-04,0.9635,0.9664,0.9825,0.8552,746.01
6,3.87789,0.33324,0.03488,0.0837,1.000000e-04,0.9607,0.9685,0.9843,0.8515,745.08
7,3.83246,0.32859,0.03441,0.08287,1.000000e-04,0.9585,0.962,0.9814,0.852,694.14
8,3.8239,0.32551,0.03387,0.08211,1.000000e-04,0.9674,0.9532,0.9813,0.8461,701.58
9,3.73475,0.32043,0.03349,0.08132,1.000000e-04,0.9677,0.9608,0.9825,0.8581,703.51
10,3.6749,0.31537,0.03333,0.08095,1.000000e-04,0.9697,0.9617,0.9826,0.859,807.19
11,3.62781,0.31149,0.03268,0.07957,1.000000e-04,0.968,0.9625,0.9828,0.858,805.77
12,3.64312,0.30688,0.03264,0.07942,1.000000e-04,0.9712,0.9613,0.9817,0.8585,699.86
13,3.57818,0.30404,0.03261,0.07906,1.000000e-04,0.9736,0.9582,0.9832,0.8551,704.24
14,3.50183,0.30344,0.03201,0.07846,1.000000e-04,0.9691,0.9658,0.9831,0.8621,709.25
15,3.45143,0.29607,0.0311,0.07676,1.000000e-04,0.9674,0.9616,0.9802,0.8566,706.54
16,3.4499,0.29418,0.03128,0.07707,1.000000e-04,0.9722,0.9669,0.9833,0.8602,733.69
17,3.43479,0.29076,0.03072,0.07608,1.000000e-04,0.9697,0.9681,0.9837,0.863,858.94
18,3.40209,0.28908,0.0309,0.07648,1.000000e-04,0.9761,0.9673,0.9842,0.8587,782.51
19,3.34362,0.2844,0.03033,0.07515,1.000000e-04,0.9709,0.9716,0.9856,0.8629,795.63
20,3.30945,0.28271,0.02991,0.07449,1.000000e-04,0.97,0.9717,0.9859,0.8658,759.93
21,3.27029,0.27976,0.02988,0.07436,1.000000e-04,0.9766,0.9676,0.9849,0.8641,790.75
22,3.25498,0.27834,0.02956,0.07407,1.000000e-04,0.9698,0.9716,0.9852,0.8627,764.25
23,3.24347,0.27735,0.02939,0.07365,1.000000e-04,0.9701,0.9707,0.983,0.862,513.53
24,3.18429,0.27276,0.02884,0.07226,1.000000e-04,0.9733,0.97,0.9844,0.8585,523.91
25,3.18074,0.27035,0.02865,0.07188,1.000000e-04,0.9741,0.9689,0.9842,0.864,513.85
26,3.14102,0.26799,0.02833,0.07124,1.000000e-04,0.973,0.9699,0.9847,0.8667,511.28
27,3.17496,0.26809,0.02847,0.07172,1.000000e-04,0.9761,0.9656,0.9846,0.8659,513.9
28,3.14366,0.2657,0.0282,0.07098,1.000000e-04,0.9748,0.969,0.9842,0.8653,519.33
29,3.14159,0.26893,0.02821,0.071,1.000000e-04,0.97,0.9733,0.9824,0.8624,513.31
30,3.15045,0.26776,0.0281,0.07101,1.000000e-04,0.9728,0.9679,0.9846,0.867,505.61
31,3.11461,0.26479,0.02767,0.07015,1.000000e-04,0.9685,0.9709,0.9841,0.8675,517.16
32,3.12247,0.26582,0.02758,0.07022,1.000000e-04,0.9754,0.967,0.9851,0.8661,514.2
33,3.07712,0.26066,0.0272,0.06955,1.000000e-04,0.9735,0.9715,0.9847,0.8643,512.45
34,3.0546,0.25917,0.02726,0.06918,1.000000e-04,0.9703,0.9699,0.983,0.8652,518.65
35,3.0573,0.25886,0.02709,0.06891,1.000000e-04,0.9679,0.9694,0.9825,0.8576,517.35
