Epoch,Train loss,Class loss,Box loss,GIoU,Learning rate,Epoch Time (s),val_mAP50,val_mAP50_95
1,1.03029,0.7077,0.0,0.32259,9.252344e-05,228.47,0.9188,0.773
2,0.67863,0.42758,0.0,0.25105,1.815233e-04,213.05,0.9633,0.8202
3,0.74713,0.43232,0.0,0.31481,2.668536e-04,211.27,0.9686,0.8318
4,0.77214,0.51433,0.0,0.25781,2.614868e-04,208.17,0.9706,0.8336
5,0.83686,0.46781,0.0,0.36904,2.559824e-04,212.34,0.9748,0.8474
6,0.71675,0.45454,0.0,0.26222,2.504780e-04,212.36,0.9745,0.8434
7,0.64116,0.40583,0.0,0.23533,2.449736e-04,208.2,0.98,0.8525
8,0.57986,0.31784,0.0,0.26202,2.394692e-04,206.37,0.981,0.8588
9,0.55387,0.32339,0.0,0.23048,2.339648e-04,207.39,0.9795,0.8566
10,0.61874,0.38037,0.0,0.23837,2.284604e-04,206.89,0.9804,0.8559
11,0.67187,0.41273,0.0,0.25914,2.229560e-04,207.21,0.9827,0.8619
12,0.62651,0.35969,0.0,0.26682,2.174516e-04,206.41,0.9823,0.8631
13,0.6484,0.36136,0.0,0.28704,2.119472e-04,206.22,0.9776,0.8552
14,0.44626,0.28357,0.0,0.1627,2.064428e-04,207.04,0.9826,0.8644
15,0.7412,0.44716,0.0,0.29405,2.009384e-04,206.65,0.9828,0.8657
16,0.53054,0.32796,0.0,0.20258,1.954340e-04,206.55,0.9831,0.8661
17,0.57804,0.37855,0.0,0.19949,1.899296e-04,205.02,0.9807,0.8628
18,0.494,0.2829,0.0,0.21111,1.844252e-04,205.04,0.981,0.8626
19,0.51285,0.29679,0.0,0.21607,1.789208e-04,207.09,0.9802,0.863
20,0.45432,0.28783,0.0,0.16649,1.734164e-04,204.79,0.9823,0.868
21,0.53265,0.3259,0.0,0.20675,1.679120e-04,203.83,0.9803,0.8646
22,0.4652,0.28513,0.0,0.18006,1.624076e-04,202.93,0.9823,0.8663
23,0.46689,0.28497,0.0,0.18192,1.569032e-04,203.94,0.9826,0.8694
24,0.53176,0.31714,0.0,0.21462,1.513988e-04,204.29,0.9822,0.869
25,0.60583,0.39282,0.0,0.21302,1.458944e-04,205.01,0.9823,0.8698
26,0.5432,0.342,0.0,0.2012,1.403900e-04,205.06,0.9843,0.8712
27,0.59259,0.37806,0.0,0.21453,1.348856e-04,204.09,0.9839,0.8707
28,0.57928,0.33358,0.0,0.2457,1.293812e-04,205.02,0.9839,0.8713
29,0.51262,0.29503,0.0,0.21759,1.238768e-04,203.42,0.9836,0.8731
30,0.60466,0.35678,0.0,0.24788,1.183724e-04,203.05,0.984,0.8718
31,0.45273,0.27671,0.0,0.17602,1.128680e-04,204.92,0.9824,0.8721
32,0.51719,0.32212,0.0,0.19506,1.073636e-04,203.86,0.983,0.8703
33,0.4949,0.3083,0.0,0.1866,1.018592e-04,203.19,0.984,0.8717
34,0.59502,0.36593,0.0,0.22909,9.635480e-05,205.06,0.9851,0.875
35,0.52899,0.33327,0.0,0.19572,9.085040e-05,203.6,0.9846,0.8728
36,0.49393,0.29221,0.0,0.20172,8.534600e-05,203.95,0.9844,0.8742
37,0.55432,0.31681,0.0,0.23751,7.984160e-05,203.8,0.9841,0.8737
38,0.4459,0.27814,0.0,0.16776,7.433720e-05,205.84,0.9845,0.8738
39,0.48741,0.3148,0.0,0.17261,6.883280e-05,206.78,0.9836,0.8727
40,0.4226,0.25322,0.0,0.16938,6.332840e-05,208.85,0.9837,0.8747
41,0.30034,0.19008,0.0,0.11026,5.782400e-05,208.35,0.9834,0.8753
42,0.3704,0.2452,0.0,0.1252,5.231960e-05,202.56,0.9844,0.8758
43,0.29496,0.19008,0.0,0.10488,4.681520e-05,201.92,0.9832,0.8744
44,0.28371,0.18432,0.0,0.09939,4.131080e-05,201.44,0.9834,0.8754
45,0.32485,0.20488,0.0,0.11997,3.580640e-05,205.17,0.9826,0.8742
46,0.29783,0.19028,0.0,0.10755,3.030200e-05,202.21,0.9828,0.8742
47,0.29896,0.18973,0.0,0.10923,2.479760e-05,203.36,0.9831,0.8744
48,0.29691,0.19417,0.0,0.10275,1.929320e-05,202.85,0.9831,0.8748
49,0.36087,0.2274,0.0,0.13347,1.378880e-05,203.44,0.9822,0.8736
50,0.30633,0.19102,0.0,0.11531,8.284400e-06,205.9,0.9827,0.8736
51,0.30633,0.19102,0.0,0.11531,8.284400e-06,237.25,0.9843,0.8757
