Epoch,Train loss,Class loss,Box loss,GIoU,Learning rate,Val Precision,Val Recall,val_mAP50,val_mAP50_95,Epoch Time (s)
1,5.66341,0.65636,0.03855,0.09099,1.000000e-04,0.9396,0.9409,0.9689,0.838,830.54
2,4.55693,0.42014,0.03725,0.08835,1.000000e-04,0.9571,0.9637,0.9813,0.8556,285.86
3,4.28615,0.38331,0.03652,0.08693,1.000000e-04,0.9668,0.9625,0.9835,0.8598,284.08
4,4.16223,0.36509,0.0366,0.08714,1.000000e-04,0.9611,0.968,0.9842,0.8636,286.87
5,3.90162,0.34318,0.0351,0.08368,1.000000e-04,0.9727,0.9696,0.9861,0.8672,292.14
6,3.89488,0.33803,0.03463,0.08328,1.000000e-04,0.9714,0.9667,0.9853,0.8684,290.38
7,3.86932,0.33218,0.03444,0.0827,1.000000e-04,0.9672,0.9724,0.9868,0.87,291.66
8,3.80955,0.32585,0.03404,0.0821,1.000000e-04,0.9747,0.967,0.9865,0.8689,283.25
9,3.74246,0.32157,0.03338,0.0808,1.000000e-04,0.9762,0.9637,0.9866,0.8707,286.27
10,3.68399,0.31882,0.0331,0.08041,1.000000e-04,0.9719,0.9709,0.9865,0.8708,281.58
11,3.65576,0.31297,0.03295,0.0801,1.000000e-04,0.9719,0.9727,0.987,0.8724,274.92
12,3.62967,0.30664,0.03265,0.07976,1.000000e-04,0.9727,0.97,0.986,0.8713,284.08
13,3.58868,0.30579,0.03235,0.0791,1.000000e-04,0.9756,0.9723,0.9871,0.8714,281.53
14,3.57292,0.30199,0.03207,0.07831,1.000000e-04,0.9752,0.9722,0.9876,0.8723,277.56
15,3.52525,0.29862,0.032,0.07795,1.000000e-04,0.9761,0.97,0.9868,0.8715,277.9
16,3.52332,0.2966,0.03158,0.07747,1.000000e-04,0.9736,0.9746,0.9872,0.8728,279.89
17,3.51414,0.2939,0.031,0.07681,1.000000e-04,0.9735,0.9723,0.9875,0.8739,280.63
18,3.46517,0.2926,0.03124,0.07705,1.000000e-04,0.9733,0.975,0.987,0.8744,281.23
19,3.44827,0.29138,0.03102,0.07651,1.000000e-04,0.974,0.9741,0.9862,0.8722,276.48
20,3.42968,0.2849,0.03,0.07478,1.000000e-04,0.9726,0.9726,0.9872,0.8731,276.95
21,3.36735,0.28214,0.03022,0.07546,1.000000e-04,0.9744,0.9695,0.9858,0.8724,279.97
22,3.35737,0.28254,0.02989,0.07482,1.000000e-04,0.9751,0.9696,0.986,0.8726,278.53
23,3.31491,0.27832,0.0295,0.07398,1.000000e-04,0.973,0.9742,0.9857,0.8727,275.3
24,3.27467,0.27686,0.02964,0.07384,1.000000e-04,0.9695,0.9763,0.986,0.8732,277.98
25,3.25204,0.27606,0.02924,0.07319,1.000000e-04,0.9758,0.9681,0.9852,0.8724,279.86
26,3.23338,0.27203,0.02907,0.07276,1.000000e-04,0.9776,0.9712,0.986,0.8738,282.1
27,3.22708,0.27346,0.02888,0.07257,1.000000e-04,0.9761,0.9735,0.9861,0.8738,283.35
