Epoch,Train loss,Class loss,Box loss,GIoU,Learning rate,Epoch Time (s),Val Precision,Val Recall,val_mAP50,val_mAP50_95
1,1.07918,0.81097,0.0,0.26821,9.984544e-03,259.49,0.8655,0.872,0.9096,0.7602
2,0.81058,0.46375,0.0,0.34683,1.973724e-02,242.06,0.9289,0.9211,0.9602,0.7831
3,0.87241,0.51156,0.0,0.36085,2.924243e-02,267.59,0.9367,0.9245,0.9595,0.7529
4,0.92296,0.53342,0.0,0.38955,2.888625e-02,240.3,0.9308,0.9295,0.9574,0.7248
5,0.97357,0.54708,0.0,0.42649,2.851500e-02,272.16,0.9109,0.9039,0.9424,0.7542
6,1.03271,0.50535,0.0,0.52736,2.814375e-02,258.66,0.9401,0.9365,0.9664,0.7481
7,0.83116,0.47362,0.0,0.35754,2.777250e-02,253.18,0.9488,0.9513,0.9737,0.7966
8,0.83835,0.44437,0.0,0.39397,2.740125e-02,231.61,0.9479,0.9414,0.9712,0.7822
9,0.8124,0.41991,0.0,0.39249,2.703000e-02,223.18,0.9497,0.947,0.9699,0.7941
10,0.8265,0.43262,0.0,0.39388,2.665875e-02,218.49,0.9602,0.9545,0.9764,0.7766
11,0.77049,0.42827,0.0,0.34221,2.628750e-02,217.9,0.9499,0.9556,0.9777,0.8084
12,0.82132,0.45969,0.0,0.36164,2.591625e-02,215.03,0.9514,0.9501,0.9723,0.7739
13,0.92573,0.46038,0.0,0.46535,2.554500e-02,210.07,0.9533,0.9556,0.9747,0.787
14,0.63619,0.35491,0.0,0.28127,2.517375e-02,209.83,0.9546,0.9554,0.975,0.8103
15,1.05495,0.51666,0.0,0.53829,2.480250e-02,209.75,0.953,0.9573,0.9747,0.8289
16,0.76339,0.45768,0.0,0.3057,2.443125e-02,211.97,0.9618,0.9605,0.9812,0.8248
17,0.73217,0.46768,0.0,0.26448,2.406000e-02,211.44,0.9543,0.9566,0.975,0.8198
18,0.73384,0.39598,0.0,0.33785,2.368875e-02,221.67,0.9581,0.961,0.9766,0.8193
19,0.63081,0.36875,0.0,0.26206,2.331750e-02,225.28,0.9641,0.9543,0.9769,0.8335
20,0.71992,0.39313,0.0,0.32679,2.294625e-02,238.25,0.9578,0.9634,0.9761,0.8287
21,0.78881,0.41702,0.0,0.37179,2.257500e-02,248.83,0.9591,0.9621,0.9779,0.8199
22,0.75804,0.40875,0.0,0.34928,2.220375e-02,243.89,0.9617,0.9632,0.9779,0.8156
23,0.69336,0.41966,0.0,0.2737,2.183250e-02,248.81,0.962,0.9686,0.9822,0.83
24,0.63621,0.36414,0.0,0.27207,2.146125e-02,223.53,0.9633,0.9617,0.9802,0.8471
25,0.75885,0.43641,0.0,0.32244,2.109000e-02,227.57,0.9644,0.9691,0.981,0.8389
26,0.74208,0.4431,0.0,0.29898,2.071875e-02,229.42,0.9668,0.9678,0.982,0.8353
27,0.81883,0.45368,0.0,0.36516,2.034750e-02,227.78,0.9649,0.9629,0.9794,0.8366
28,0.71898,0.40305,0.0,0.31594,1.997625e-02,225.57,0.9624,0.9688,0.9794,0.8368
29,0.69577,0.37548,0.0,0.3203,1.960500e-02,211.07,0.9635,0.9656,0.981,0.8344
30,0.64494,0.3835,0.0,0.26144,1.923375e-02,221.52,0.9592,0.9644,0.9772,0.839
31,0.70282,0.40977,0.0,0.29305,1.886250e-02,237.19,0.9643,0.9654,0.9795,0.8315
32,0.7675,0.43481,0.0,0.3327,1.849125e-02,232.82,0.961,0.9612,0.9778,0.8423
33,0.65745,0.38928,0.0,0.26817,1.812000e-02,230.58,0.9628,0.9668,0.9778,0.8474
34,0.73326,0.43319,0.0,0.30006,1.774875e-02,250.64,0.9691,0.9639,0.9796,0.8414
35,0.78719,0.41616,0.0,0.37103,1.737750e-02,246.95,0.9666,0.9674,0.9803,0.8535
36,0.78425,0.40032,0.0,0.38393,1.700625e-02,235.01,0.9668,0.9669,0.981,0.8447
37,0.68908,0.38423,0.0,0.30486,1.663500e-02,227.59,0.9637,0.9681,0.9813,0.8512
38,0.65831,0.37898,0.0,0.27933,1.626375e-02,229.92,0.9669,0.9694,0.9817,0.8563
39,0.6935,0.39287,0.0,0.30063,1.589250e-02,235.72,0.9674,0.9664,0.9802,0.8529
40,0.54169,0.31981,0.0,0.22188,1.552125e-02,239.74,0.9668,0.9683,0.9799,0.8532
41,0.58309,0.35767,0.0,0.22542,1.515000e-02,222.19,0.9688,0.9683,0.9812,0.8595
42,0.62453,0.338,0.0,0.28654,1.477875e-02,222.37,0.9679,0.9688,0.9814,0.8582
43,0.56298,0.33671,0.0,0.22627,1.440750e-02,223.48,0.9663,0.9651,0.9795,0.8558
44,0.51385,0.30369,0.0,0.21016,1.403625e-02,226.19,0.972,0.9642,0.982,0.8545
45,0.61179,0.32425,0.0,0.28754,1.366500e-02,210.98,0.9694,0.9695,0.9813,0.8544
46,0.61423,0.37188,0.0,0.24235,1.329375e-02,210.3,0.9699,0.9683,0.981,0.8573
47,0.51633,0.29833,0.0,0.218,1.292250e-02,210.48,0.9709,0.9623,0.9788,0.8574
48,0.54497,0.32348,0.0,0.22149,1.255125e-02,210.83,0.9697,0.9669,0.9811,0.8602
49,0.62204,0.36506,0.0,0.25698,1.218000e-02,253.9,0.9675,0.9694,0.9807,0.8543
50,0.59277,0.31639,0.0,0.27638,1.180875e-02,253.79,0.9636,0.9683,0.981,0.8512
51,0.55503,0.30867,0.0,0.24636,1.143750e-02,239.23,0.9694,0.9668,0.9805,0.8538
52,0.51604,0.29062,0.0,0.22542,1.106625e-02,225.59,0.9696,0.9648,0.9794,0.8558
53,0.49478,0.3181,0.0,0.17668,1.069500e-02,225.75,0.9697,0.9668,0.9811,0.8623
54,0.61324,0.37996,0.0,0.23327,1.032375e-02,224.33,0.9716,0.9677,0.9811,0.8648
55,0.60721,0.37944,0.0,0.22777,9.952500e-03,222.35,0.9722,0.966,0.9815,0.8664
56,0.5044,0.29358,0.0,0.21081,9.581250e-03,222.46,0.9723,0.9647,0.9816,0.8642
57,0.60236,0.38191,0.0,0.22045,9.210000e-03,230.93,0.9695,0.9701,0.9829,0.8659
58,0.57844,0.32228,0.0,0.25615,8.838750e-03,222.44,0.9734,0.9657,0.9825,0.8672
59,0.543,0.30582,0.0,0.23718,8.467500e-03,222.57,0.9707,0.9698,0.9819,0.8645
60,0.48713,0.29012,0.0,0.19702,8.096250e-03,237.99,0.9685,0.9687,0.9814,0.8625
61,0.46638,0.30093,0.0,0.16546,7.725000e-03,222.67,0.971,0.9676,0.9819,0.8652
62,0.51257,0.29687,0.0,0.21571,7.353750e-03,231.72,0.9736,0.9689,0.9825,0.866
63,0.48956,0.30539,0.0,0.18417,6.982500e-03,225.18,0.9707,0.9695,0.9825,0.8662
64,0.45801,0.27816,0.0,0.17985,6.611250e-03,241.03,0.9717,0.9684,0.9817,0.8662
65,0.48707,0.2985,0.0,0.18858,6.240000e-03,254.88,0.9722,0.9688,0.9812,0.866
66,0.44579,0.27741,0.0,0.16839,5.868750e-03,236.07,0.973,0.9679,0.981,0.8668
67,0.43091,0.26374,0.0,0.16717,5.497500e-03,213.92,0.9718,0.9659,0.9808,0.8669
68,0.48354,0.30447,0.0,0.17907,5.126250e-03,212.3,0.9699,0.9683,0.9808,0.8668
69,0.48354,0.30447,0.0,0.17907,5.126250e-03,245.43,0.9715,0.9668,0.9826,0.8672
